"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Most Improved Player","5703","Jalen","Duren","Jalen Duren","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=7","/betting/nba/player/jalen-duren-odds-5703","150","0.0",1.5,"25.1","30.00",NA,NA,NA,"200","0.0",2,"24.0","40.00",NA,NA,NA,"190","0.0",1.9,"26.1","38.00",NA,NA,NA,"175","0.0",1.75,"28.3","35.00",NA,NA,NA,"175","0.0",1.75,"25.0","35.00",NA,NA,NA,"165","0.0",1.65,"31.4","33.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","200","0.0",2,NA,"40.00",2025-11-23
"Most Improved Player","5366","Josh","Giddey","Josh Giddey","CHI","https://content.rotowire.com/images/teamlogo/basketball/100CHI.png?v=7","/betting/nba/player/josh-giddey-odds-5366","450","0.0",4.5,"11.4","90.00",NA,NA,NA,"450","0.0",4.5,"13.1","90.00",NA,NA,NA,"500","0.0",5,"12.6","100.00",NA,NA,NA,"460","0.0",4.6,"13.9","92.00",NA,NA,NA,"425","0.0",4.25,"13.1","85.00",NA,NA,NA,"475","0.0",4.75,"14.5","95.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","500","0.0",5,NA,"100.00",2025-11-23
"Most Improved Player","5152","Deni","Avdija","Deni Avdija","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=7","/betting/nba/player/deni-avdija-odds-5152","500","0.0",5,"10.5","100.00",NA,NA,NA,"550","0.0",5.5,"11.1","110.00",NA,NA,NA,"600","0.0",6,"10.8","120.00",NA,NA,NA,"550","0.0",5.5,"12.0","110.00",NA,NA,NA,"550","0.0",5.5,"10.6","110.00",NA,NA,NA,"500","0.0",5,"13.9","100.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","600","0.0",6,NA,"120.00",2025-11-23
"Most Improved Player","5668","Ryan","Rollins","Ryan Rollins","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=7","/betting/nba/player/ryan-rollins-odds-5668","850","0.0",8.5,"6.6","170.00",NA,NA,NA,"800","0.0",8,"8.0","160.00",NA,NA,NA,"750","0.0",7.5,"8.9","150.00",NA,NA,NA,"800","0.0",8,"8.7","160.00",NA,NA,NA,"900","0.0",9,"6.9","180.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","900","0.0",9,NA,"180.00",2025-11-23
"Most Improved Player","5329","Jalen","Johnson","Jalen Johnson","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=7","/betting/nba/player/jalen-johnson-odds-5329","2200","0.0",22,"2.7","440.00",NA,NA,NA,"2000","0.0",20,"3.4","400.00",NA,NA,NA,"1800","0.0",18,"4.0","360.00",NA,NA,NA,"2000","0.0",20,"3.7","400.00",NA,NA,NA,"2000","0.0",20,"3.3","400.00",NA,NA,NA,"2200","0.0",22,"3.6","440.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","2200","0.0",22,NA,"440.00",2025-11-23
"Most Improved Player","5899","Keyonte","George","Keyonte George","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=7","/betting/nba/player/keyonte-george-odds-5899","1800","0.0",18,"3.3","360.00",NA,NA,NA,"3000","0.0",30,"2.3","600.00",NA,NA,NA,"3000","0.0",30,"2.4","600.00",NA,NA,NA,"3000","0.0",30,"2.5","600.00",NA,NA,NA,"3000","0.0",30,"2.2","600.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","3000","0.0",30,NA,"600.00",2025-11-23
"Most Improved Player","5334","Austin","Reaves","Austin Reaves","LAL","https://content.rotowire.com/images/teamlogo/basketball/100LAL.png?v=7","/betting/nba/player/austin-reaves-odds-5334","3000","0.0",30,"2.0","600.00",NA,NA,NA,"3500","0.0",35,"2.0","700.00",NA,NA,NA,"2500","0.0",25,"2.9","500.00",NA,NA,NA,"3500","0.0",35,"2.2","700.00",NA,NA,NA,"3000","0.0",30,"2.2","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","3500","0.0",35,NA,"700.00",2025-11-23
"Most Improved Player","5698","Bennedict","Mathurin","Bennedict Mathurin","IND","https://content.rotowire.com/images/teamlogo/basketball/100IND.png?v=7","/betting/nba/player/bennedict-mathurin-odds-5698","1800","0.0",18,"3.3","360.00",NA,NA,NA,"3000","0.0",30,"2.3","600.00",NA,NA,NA,"4000","0.0",40,"1.8","800.00",NA,NA,NA,"3000","0.0",30,"2.5","600.00",NA,NA,NA,"2500","0.0",25,"2.6","500.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","4000","0.0",40,NA,"800.00",2025-11-23
"Most Improved Player","6269","Kyshawn","George","Kyshawn George","WAS","https://content.rotowire.com/images/teamlogo/basketball/100WAS.png?v=7","/betting/nba/player/kyshawn-george-odds-6269","5000","0.0",50,"1.2","1,000.00",NA,NA,NA,"3500","0.0",35,"2.0","700.00",NA,NA,NA,"5000","0.0",50,"1.5","1,000.00",NA,NA,NA,"5000","0.0",50,"1.5","1,000.00",NA,NA,NA,"3000","0.0",30,"2.2","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","5000","0.0",50,NA,"1,000.00",2025-11-23
"Most Improved Player","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=7","/betting/nba/player/ajay-mitchell-odds-6289","4000","0.0",40,"1.5","800.00",NA,NA,NA,"4000","0.0",40,"1.8","800.00",NA,NA,NA,"5000","0.0",50,"1.5","1,000.00",NA,NA,NA,"5000","0.0",50,"1.5","1,000.00",NA,NA,NA,"4000","0.0",40,"1.7","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","5000","0.0",50,NA,"1,000.00",2025-11-23
