"future","playerID","firstName","lastName","name","team","logo","playerURL","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Most Improved Player","5152","Deni","Avdija","Deni Avdija","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=9","/betting/nba/player/deni-avdija-odds-5152","125","0.0",1.25,"31.5","25.00",NA,NA,NA,"140","0.0",1.4,"33.6","28.00",NA,NA,NA,"135","0.0",1.35,"34.1","27.00",NA,NA,NA,"130","0.0",1.3,"34.3","26.00",NA,NA,NA,"135","0.0",1.35,"34.3","27.00",NA,NA,NA,"125","0.0",1.25,"39.6","25.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","140","0.0",1.4,NA,"28.00",2025-12-29
"Most Improved Player","5329","Jalen","Johnson","Jalen Johnson","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=9","/betting/nba/player/jalen-johnson-odds-5329","200","0.0",2,"23.6","40.00",NA,NA,NA,"230","0.0",2.3,"24.4","46.00",NA,NA,NA,"220","0.0",2.2,"25.0","44.00",NA,NA,NA,"220","0.0",2.2,"24.6","44.00",NA,NA,NA,"225","0.0",2.25,"24.8","45.00",NA,NA,NA,"225","0.0",2.25,"27.4","45.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","230","0.0",2.3,NA,"46.00",2025-12-29
"Most Improved Player","5703","Jalen","Duren","Jalen Duren","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=9","/betting/nba/player/jalen-duren-odds-5703","1200","0.0",12,"5.5","240.00",NA,NA,NA,"1200","0.0",12,"6.2","240.00",NA,NA,NA,"900","0.0",9,"8.0","180.00",NA,NA,NA,"1200","0.0",12,"6.1","240.00",NA,NA,NA,"1200","0.0",12,"6.2","240.00",NA,NA,NA,"1200","0.0",12,"6.9","240.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1200","0.0",12,NA,"240.00",2025-12-29
"Most Improved Player","5366","Josh","Giddey","Josh Giddey","CHI","https://content.rotowire.com/images/teamlogo/basketball/100CHI.png?v=9","/betting/nba/player/josh-giddey-odds-5366","1200","0.0",12,"5.5","240.00",NA,NA,NA,"1200","0.0",12,"6.2","240.00",NA,NA,NA,"1400","0.0",14,"5.3","280.00",NA,NA,NA,"1300","0.0",13,"5.6","260.00",NA,NA,NA,"1200","0.0",12,"6.2","240.00",NA,NA,NA,"1400","0.0",14,"5.9","280.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","1400","0.0",14,NA,"280.00",2025-12-29
"Most Improved Player","5899","Keyonte","George","Keyonte George","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=9","/betting/nba/player/keyonte-george-odds-5899","1400","0.0",14,"4.7","280.00",NA,NA,NA,"1400","0.0",14,"5.4","280.00",NA,NA,NA,"1000","0.0",10,"7.3","200.00",NA,NA,NA,"1500","0.0",15,"4.9","300.00",NA,NA,NA,"1400","0.0",14,"5.4","280.00",NA,NA,NA,"1400","0.0",14,"5.9","280.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1500","0.0",15,NA,"300.00",2025-12-29
"Most Improved Player","5668","Ryan","Rollins","Ryan Rollins","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=9","/betting/nba/player/ryan-rollins-odds-5668","1600","0.0",16,"4.2","320.00",NA,NA,NA,"1800","0.0",18,"4.2","360.00",NA,NA,NA,"1600","0.0",16,"4.7","320.00",NA,NA,NA,"1800","0.0",18,"4.2","360.00",NA,NA,NA,"1750","0.0",17.5,"4.4","350.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1800","0.0",18,NA,"360.00",2025-12-29
"Most Improved Player","4765","Nickeil","Alexander-Walker","Nickeil Alexander-Walker","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=9","/betting/nba/player/nickeil-alexander-walker-odds-4765","4000","0.0",40,"1.7","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"4500","0.0",45,"1.7","900.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"4500","0.0",45,"1.9","900.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","5000","0.0",50,NA,"1,000.00",2025-12-29
"Most Improved Player","5910","Anthony","Black","Anthony Black","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=9","/betting/nba/player/anthony-black-odds-5910","6000","0.0",60,"1.2","1,200.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.5","1,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"5000","0.0",50,"1.7","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","6000","0.0",60,NA,"1,200.00",2025-12-29
"Most Improved Player","4375","Michael","Porter","Michael Porter","BKN","https://content.rotowire.com/images/teamlogo/basketball/100BKN.png?v=9","/betting/nba/player/michael-porter-odds-4375","4000","0.0",40,"1.7","800.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"6600","0.0",66,"1.2","1,320.00",NA,NA,NA,"5000","0.0",50,"1.5","1,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"6600","0.0",66,"1.3","1,320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","6600","0.0",66,NA,"1,320.00",2025-12-29
"Most Improved Player","4125","Dillon","Brooks","Dillon Brooks","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=9","/betting/nba/player/dillon-brooks-odds-4125","6000","0.0",60,"1.2","1,200.00",NA,NA,NA,"7000","0.0",70,"1.1","1,400.00",NA,NA,NA,"6600","0.0",66,"1.2","1,320.00",NA,NA,NA,"5000","0.0",50,"1.5","1,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","7000","0.0",70,NA,"1,400.00",2025-12-29
"Most Improved Player","5732","Collin","Gillespie","Collin Gillespie","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=9","/betting/nba/player/collin-gillespie-odds-5732","6000","0.0",60,"1.2","1,200.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","8000","0.0",80,NA,"1,600.00",2025-12-29
"Most Improved Player","5390","Scottie","Barnes","Scottie Barnes","TOR","https://content.rotowire.com/images/teamlogo/basketball/100TOR.png?v=9","/betting/nba/player/scottie-barnes-odds-5390","10000","0.0",100,"0.7","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","10000","0.0",100,NA,"2,000.00",2025-12-29
"Most Improved Player","6269","Kyshawn","George","Kyshawn George","WAS","https://content.rotowire.com/images/teamlogo/basketball/100WAS.png?v=9","/betting/nba/player/kyshawn-george-odds-6269","10000","0.0",100,"0.7","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","10000","0.0",100,NA,"2,000.00",2025-12-29
"Most Improved Player","5931","Amen","Thompson","Amen Thompson","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=9","/betting/nba/player/amen-thompson-odds-5931","10000","0.0",100,"0.7","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","10000","0.0",100,NA,"2,000.00",2025-12-29
"Most Improved Player","5698","Bennedict","Mathurin","Bennedict Mathurin","IND","https://content.rotowire.com/images/teamlogo/basketball/100IND.png?v=9","/betting/nba/player/bennedict-mathurin-odds-5698","8000","0.0",80,"0.9","1,600.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"12500","0.0",125,"0.7","2,500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","12500","0.0",125,NA,"2,500.00",2025-12-29
"Most Improved Player","5679","Andrew","Nembhard","Andrew Nembhard","IND","https://content.rotowire.com/images/teamlogo/basketball/100IND.png?v=9","/betting/nba/player/andrew-nembhard-odds-5679","10000","0.0",100,"0.7","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12500","0.0",125,"0.7","2,500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","12500","0.0",125,NA,"2,500.00",2025-12-29
"Most Improved Player","5939","Ronald","Holland","Ronald Holland","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=9","/betting/nba/player/ronald-holland-odds-5939","15000","0.0",150,"0.5","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","15000","0.0",150,NA,"3,000.00",2025-12-29
"Most Improved Player","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=9","/betting/nba/player/jaime-jaquez-odds-5960","10000","0.0",100,"0.7","2,000.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","15000","0.0",150,NA,"3,000.00",2025-12-29
"Most Improved Player","3726","Norman","Powell","Norman Powell","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=9","/betting/nba/player/norman-powell-odds-3726","15000","0.0",150,"0.5","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","15000","0.0",150,NA,"3,000.00",2025-12-29
"Most Improved Player","5131","Payton","Pritchard","Payton Pritchard","BOS","https://content.rotowire.com/images/teamlogo/basketball/100BOS.png?v=9","/betting/nba/player/payton-pritchard-odds-5131","15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","15000","0.0",150,NA,"3,000.00",2025-12-29
"Most Improved Player","6240","Alex","Sarr","Alex Sarr","WAS","https://content.rotowire.com/images/teamlogo/basketball/100WAS.png?v=9","/betting/nba/player/alex-sarr-odds-6240","15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","15000","0.0",150,NA,"3,000.00",2025-12-29
"Most Improved Player","5693","Shaedon","Sharpe","Shaedon Sharpe","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=9","/betting/nba/player/shaedon-sharpe-odds-5693","10000","0.0",100,"0.7","2,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","15000","0.0",150,NA,"3,000.00",2025-12-29
