"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Most Improved Player","5152","Deni","Avdija","Deni Avdija","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=10","/betting/nba/player/deni-avdija-odds-5152","-120","0.0",0.833333333333333,"44.2","16.67",NA,NA,NA,"-120","0.0",0.833333333333333,"46.2","16.67",NA,NA,NA,"-125","0.0",0.8,"47.0","16.00",NA,NA,NA,"-120","0.0",0.833333333333333,"45.9","16.67",NA,NA,NA,"-125","0.0",0.8,"48.1","16.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","-120","0.0",0.833333333333333,NA,"16.67",2026-02-07
"Most Improved Player","5329","Jalen","Johnson","Jalen Johnson","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=10","/betting/nba/player/jalen-johnson-odds-5329","300","0.0",3,"20.3","60.00",NA,NA,NA,"310","0.0",3.1,"20.7","62.00",NA,NA,NA,"330","0.0",3.3,"19.7","66.00",NA,NA,NA,"300","0.0",3,"21.1","60.00",NA,NA,NA,"300","0.0",3,"21.7","60.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","330","0.0",3.3,NA,"66.00",2026-02-07
"Most Improved Player","5899","Keyonte","George","Keyonte George","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=10","/betting/nba/player/keyonte-george-odds-5899","375","0.0",3.75,"17.1","75.00",NA,NA,NA,"450","0.0",4.5,"15.4","90.00",NA,NA,NA,"460","0.0",4.6,"15.1","92.00",NA,NA,NA,"450","0.0",4.5,"15.3","90.00",NA,NA,NA,"400","0.0",4,"17.3","80.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","460","0.0",4.6,NA,"92.00",2026-02-07
"Most Improved Player","4765","Nickeil","Alexander-Walker","Nickeil Alexander-Walker","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=10","/betting/nba/player/nickeil-alexander-walker-odds-4765","1200","0.0",12,"6.2","240.00",NA,NA,NA,"1600","0.0",16,"5.0","320.00",NA,NA,NA,"1200","0.0",12,"6.5","240.00",NA,NA,NA,"1600","0.0",16,"5.0","320.00",NA,NA,NA,"1800","0.0",18,"4.6","360.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","1800","0.0",18,NA,"360.00",2026-02-07
"Most Improved Player","5703","Jalen","Duren","Jalen Duren","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/jalen-duren-odds-5703","2400","0.0",24,"3.2","480.00",NA,NA,NA,"2500","0.0",25,"3.3","500.00",NA,NA,NA,"2500","0.0",25,"3.3","500.00",NA,NA,NA,"2500","0.0",25,"3.2","500.00",NA,NA,NA,"2200","0.0",22,"3.8","440.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2500","0.0",25,NA,"500.00",2026-02-07
"Most Improved Player","5910","Anthony","Black","Anthony Black","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=10","/betting/nba/player/anthony-black-odds-5910","5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"4000","0.0",40,"2.1","800.00",NA,NA,NA,"4000","0.0",40,"2.1","800.00",NA,NA,NA,"4000","0.0",40,"2.1","800.00",NA,NA,NA,"4000","0.0",40,"2.1","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","5000","0.0",50,NA,"1,000.00",2026-02-07
"Most Improved Player","4375","Michael","Porter","Michael Porter","BKN","https://content.rotowire.com/images/teamlogo/basketball/100BKN.png?v=10","/betting/nba/player/michael-porter-odds-4375","4000","0.0",40,"2.0","800.00",NA,NA,NA,"5000","0.0",50,"1.7","1,000.00",NA,NA,NA,"4000","0.0",40,"2.1","800.00",NA,NA,NA,"5000","0.0",50,"1.7","1,000.00",NA,NA,NA,"4000","0.0",40,"2.1","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","5000","0.0",50,NA,"1,000.00",2026-02-07
"Most Improved Player","5668","Ryan","Rollins","Ryan Rollins","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=10","/betting/nba/player/ryan-rollins-odds-5668","7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"5000","0.0",50,"1.7","1,000.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"5000","0.0",50,"1.7","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","7500","0.0",75,NA,"1,500.00",2026-02-07
"Most Improved Player","4125","Dillon","Brooks","Dillon Brooks","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/dillon-brooks-odds-4125","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2026-02-07
"Most Improved Player","5732","Collin","Gillespie","Collin Gillespie","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/collin-gillespie-odds-5732","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"7000","0.0",70,"1.2","1,400.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","10000","0.0",100,NA,"2,000.00",2026-02-07
"Most Improved Player","6257","Reed","Sheppard","Reed Sheppard","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/reed-sheppard-odds-6257","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","10000","0.0",100,NA,"2,000.00",2026-02-07
"Most Improved Player","6277","Jaylon","Tyson","Jaylon Tyson","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=10","/betting/nba/player/jaylon-tyson-odds-6277","7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2026-02-07
"Most Improved Player","5938","Matas","Buzelis","Matas Buzelis","CHI","https://content.rotowire.com/images/teamlogo/basketball/100CHI.png?v=10","/betting/nba/player/matas-buzelis-odds-5938","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"30000","0.0",300,"0.3","6,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","30000","0.0",300,NA,"6,000.00",2026-02-07
"Most Improved Player","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=10","/betting/nba/player/jaime-jaquez-odds-5960",NA,NA,NA,NA,NA,NA,NA,NA,"30000","0.0",300,"0.3","6,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2026-02-07
"Most Improved Player","5931","Amen","Thompson","Amen Thompson","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/amen-thompson-odds-5931",NA,NA,NA,NA,NA,NA,NA,NA,"40000","0.0",400,"0.2","8,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2026-02-07
