"future","playerID","firstName","lastName","name","team","logo","playerURL","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","circasports_odds","circasports_line","circasports_mult","circasports_winPct","circasports_win","circasports_odds_under","circasports_mult_under","circasports_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","fanatics_odds","fanatics_line","fanatics_mult","fanatics_winPct","fanatics_win","fanatics_odds_under","fanatics_mult_under","fanatics_win_under","date"
"Most Improved Player","5152","Deni","Avdija","Deni Avdija","POR","https://assets.rotowire.com/images/teamlogo/basketball/100POR.png?v=10","/betting/nba/player/deni-avdija-odds-5152","-120","0.0",0.833333333333333,"45.5","16.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","-120","0.0",0.833333333333333,NA,"16.67",NA,NA,NA,NA,NA,NA,NA,NA,2026-08-03
"Most Improved Player","5329","Jalen","Johnson","Jalen Johnson","ATL","https://assets.rotowire.com/images/teamlogo/basketball/100ATL.png?v=10","/betting/nba/player/jalen-johnson-odds-5329","240","0.0",2.4,"24.5","48.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","240","0.0",2.4,NA,"48.00",NA,NA,NA,NA,NA,NA,NA,NA,2026-08-03
"Most Improved Player","5899","Keyonte","George","Keyonte George","UTA","https://assets.rotowire.com/images/teamlogo/basketball/100UTA.png?v=10","/betting/nba/player/keyonte-george-odds-5899","800","0.0",8,"9.3","160.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","800","0.0",8,NA,"160.00",NA,NA,NA,NA,NA,NA,NA,NA,2026-08-03
"Most Improved Player","4765","Nickeil","Alexander-Walker","Nickeil Alexander-Walker","ATL","https://assets.rotowire.com/images/teamlogo/basketball/100ATL.png?v=10","/betting/nba/player/nickeil-alexander-walker-odds-4765","1000","0.0",10,"7.6","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","1000","0.0",10,NA,"200.00",NA,NA,NA,NA,NA,NA,NA,NA,2026-08-03
"Most Improved Player","5896","Brandon","Miller","Brandon Miller","CHA","https://assets.rotowire.com/images/teamlogo/basketball/100CHA.png?v=10","/betting/nba/player/brandon-miller-odds-5896",NA,NA,NA,NA,NA,NA,NA,NA,"1200","0.0",12,"5.0","240.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"800","0.0",8,"7.0","160.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1100","0.0",11,"5.0","220.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1200","0.0",12,NA,"240.00","800","0.0",8,"0.0","160.00",NA,NA,NA,2026-08-03
"Most Improved Player","6549","Dylan","Harper","Dylan Harper","SAS","https://assets.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/dylan-harper-odds-6549",NA,NA,NA,NA,NA,NA,NA,NA,"1000","0.0",10,"5.9","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1200","0.0",12,"4.8","240.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1500","0.0",15,"3.8","300.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","1500","0.0",15,NA,"300.00","1200","0.0",12,"0.0","240.00",NA,NA,NA,2026-08-03
"Most Improved Player","5131","Payton","Pritchard","Payton Pritchard","BOS","https://assets.rotowire.com/images/teamlogo/basketball/100BOS.png?v=10","/betting/nba/player/payton-pritchard-odds-5131",NA,NA,NA,NA,NA,NA,NA,NA,"1500","0.0",15,"4.1","300.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1200","0.0",12,"4.8","240.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1100","0.0",11,"5.0","220.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1500","0.0",15,NA,"300.00","1000","0.0",10,"0.0","200.00",NA,NA,NA,2026-08-03
"Most Improved Player","6275","Kel'el","Ware","Kel'el Ware","MIL","https://assets.rotowire.com/images/teamlogo/basketball/100MIL.png?v=10","/betting/nba/player/kelel-ware-odds-6275",NA,NA,NA,NA,NA,NA,NA,NA,"1800","0.0",18,"3.4","360.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1600","0.0",16,"3.7","320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1800","0.0",18,"3.2","360.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1800","0.0",18,NA,"360.00","1600","0.0",16,"0.0","320.00",NA,NA,NA,2026-08-03
"Most Improved Player","5703","Jalen","Duren","Jalen Duren","DET","https://assets.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/jalen-duren-odds-5703","2000","0.0",20,"4.0","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","2000","0.0",20,NA,"400.00",NA,NA,NA,NA,NA,NA,NA,NA,2026-08-03
"Most Improved Player","4774","Ty","Jerome","Ty Jerome","MEM","https://assets.rotowire.com/images/teamlogo/basketball/100MEM.png?v=10","/betting/nba/player/ty-jerome-odds-4774",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3000","0.0",30,"2.0","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2500","0.0",25,"2.3","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","3000","0.0",30,NA,"600.00","2000","0.0",20,"0.0","400.00",NA,NA,NA,2026-08-03
